2016-11-02 00:45:21,831 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 00:45:34,715 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 01:10:06,911 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-02 01:10:19,753 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-02 01:44:57,147 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 01:45:09,789 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 01:46:18,118 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 02:43:10,495 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-02 02:43:26,897 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-02 02:43:46,013 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-02 02:43:56,903 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-02 02:44:06,031 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-02 04:05:53,893 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 04:19:14,164 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 04:31:17,146 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 04:32:23,870 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 04:37:17,193 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 04:37:32,177 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 04:44:26,178 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-02 04:58:11,154 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 05:29:38,898 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 05:34:05,201 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 05:35:11,256 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 05:44:08,210 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 05:57:59,215 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 06:11:14,901 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
